Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,label
78969.0,1035.9578999999999,433.46770982500004,240.70269865499998,1.775070808,0.8047849106,81328.25,304.08947213500005,0.7573866676,0.9830076115999999,0.865418614,0.7308514857499999,0.0054636176,0.00102928945,0.5560663495,0.9919058463,CALI
55549.399999999994,889.8945,377.94181097499995,206.934114325,2.0478719759999997,0.8737065162000001,57070.549999999996,222.463353315,0.6019467056000001,0.9830076115999999,0.7652051852,0.69665795465,0.0069982488,0.00102928945,0.5002395757,0.9919058463,HOROZ
32129.8,743.8311,266.890013275,173.16552999499999,1.638670224,0.8047849106,32812.85,222.463353315,0.7573866676,0.9830076115999999,0.865418614,0.7992385479499999,0.0069982488,0.00164945005,0.6118931233,0.9919058463,SIRA
78969.0,1035.9578999999999,377.94181097499995,240.70269865499998,1.638670224,0.8047849106,81328.25,304.08947213500005,0.8195626524,0.9905089592,0.8153118996,0.76504501685,0.0054636176,0.00133936975,0.6118931233,0.9919058463,CALI
55549.399999999994,889.8945,377.94181097499995,173.16552999499999,2.0478719759999997,0.8737065162000001,57070.549999999996,263.276412725,0.6952106828,0.9905089592,0.8153118996,0.69665795465,0.0069982488,0.00102928945,0.5002395757,0.9971080161,HOROZ
78969.0,743.8311,322.415912125,206.934114325,1.229468472,0.5980200938,32812.85,222.463353315,0.7573866676,0.9905089592,0.9656320428,0.9018191412500001,0.0054636176,0.00164945005,0.7793734447,0.9971080161,SEKER
55549.399999999994,889.8945,377.94181097499995,206.934114325,1.775070808,0.8047849106,57070.549999999996,304.08947213500005,0.6952106828,0.9905089592,0.865418614,0.76504501685,0.0062309332,0.00133936975,0.5560663495,0.9919058463,CALI
32129.8,597.7677,266.890013275,173.16552999499999,1.50226964,0.7358633050000001,32812.85,181.65029390499998,0.7262986752,0.9905089592,0.865418614,0.83343207905,0.0069982488,0.00226961065,0.6677198971,0.9971080161,SEKER
32129.8,597.7677,266.890013275,173.16552999499999,1.50226964,0.7358633050000001,32812.85,181.65029390499998,0.7262986752,0.9905089592,0.9155253284,0.83343207905,0.0077655644,0.00226961065,0.6677198971,0.9971080161,DERMASON
55549.399999999994,889.8945,322.415912125,240.70269865499998,1.638670224,0.8047849106,57070.549999999996,263.276412725,0.7262986752,0.9755062640000001,0.7652051852,0.7992385479499999,0.0054636176,0.00164945005,0.6118931233,0.9971080161,BARBUNYA
